iter	Logloss
0	0.6270836764
1	0.5786843802
2	0.5335615903
3	0.4926540973
4	0.4648534007
5	0.4397019678
6	0.4154779456
7	0.3974667307
8	0.3800171712
9	0.365740292
10	0.355256904
11	0.3455094212
12	0.3378160656
13	0.3321432368
14	0.3270494559
15	0.3214019063
16	0.3179915195
17	0.314932165
18	0.3118943599
19	0.3095615397
20	0.3069636855
21	0.3049737732
22	0.3020810321
23	0.3005667734
24	0.2994669236
25	0.2971355632
26	0.2963067965
27	0.2953580989
28	0.2943183688
29	0.2930517243
30	0.2924898639
31	0.2914542268
32	0.291090343
33	0.2905370977
34	0.2901652329
35	0.2896532856
36	0.2889825847
37	0.2888253644
38	0.2880099613
39	0.2875126858
40	0.2872049696
41	0.2866134727
42	0.2863778242
43	0.2859771608
44	0.2855968742
45	0.2855211807
46	0.2851536741
47	0.285009056
48	0.2846330103
49	0.2844407347
50	0.2842734663
51	0.2839617821
52	0.2836259966
53	0.2834037288
54	0.2832819753
55	0.2830564907
56	0.2829654223
57	0.2826027696
58	0.2825482997
59	0.2821942686
60	0.2821007359
61	0.2819417533
62	0.2819238719
63	0.2818844832
64	0.2817067769
65	0.2815204587
66	0.2814255669
67	0.2813205913
68	0.2812679367
69	0.2811626291
70	0.2810529791
71	0.2809301821
72	0.2807427349
73	0.2805847675
74	0.2805543566
75	0.2805118355
76	0.280453975
77	0.2803581743
78	0.2802779885
79	0.2802234211
80	0.2801671984
81	0.2799593115
82	0.2798875088
83	0.2797888852
84	0.2797422001
85	0.279690893
86	0.2795960377
87	0.2795534089
88	0.2793673887
89	0.2793099071
90	0.2792375792
91	0.2791307242
92	0.2789763772
93	0.2789137986
94	0.2788664947
95	0.278861779
96	0.2786736263
97	0.2785757147
98	0.2784990749
99	0.2783344697
100	0.2782943371
101	0.2782077281
102	0.2781574435
103	0.2780851377
104	0.2780451021
105	0.2779925455
106	0.2779446921
107	0.2778191289
108	0.2777310502
109	0.2775939823
110	0.2774699857
111	0.2773663066
112	0.2773039708
113	0.2772921551
114	0.2772448136
115	0.2771468564
116	0.277053824
117	0.2770212735
118	0.2769636879
119	0.2768656744
120	0.2767534619
121	0.2767171128
122	0.2763900489
123	0.2762451192
124	0.2761781319
125	0.2761014776
126	0.2760435574
127	0.2760006137
128	0.2758415404
129	0.2756164163
130	0.2755541806
131	0.2754560299
132	0.2754106083
133	0.2753726497
134	0.2753503735
135	0.2752898639
136	0.2750028831
137	0.2749369658
138	0.2748717168
139	0.2747890691
140	0.2747208462
141	0.2746688987
142	0.2745389717
143	0.2743354143
144	0.2742495399
145	0.2741874771
146	0.2740905457
147	0.2739785418
148	0.2738677543
149	0.2736467294
150	0.2735251298
151	0.273463657
152	0.2733646043
153	0.2732799699
154	0.2731734297
155	0.2731047221
156	0.2730287796
157	0.2727751698
158	0.2727327375
159	0.2726480302
160	0.2725361154
161	0.2725276978
162	0.2724376471
163	0.2724129883
164	0.272170418
165	0.2720748011
166	0.271997321
167	0.2719241322
168	0.271845151
169	0.2718333203
170	0.2717639087
171	0.2716669799
172	0.2716140614
173	0.2715390818
174	0.2713043667
175	0.2711589398
176	0.2710121128
177	0.2710042485
178	0.2709209212
179	0.2707776005
180	0.270697052
181	0.270557312
182	0.2705027268
183	0.2704004617
184	0.2703377595
185	0.2702948046
186	0.2702857423
187	0.2702797857
188	0.2702594536
189	0.2702540854
190	0.2700458286
191	0.270033402
192	0.2698965914
193	0.2697845788
194	0.2697078358
195	0.2697004648
196	0.2695820288
197	0.2695708541
198	0.2695643277
199	0.2693919595
200	0.2692814618
201	0.2691060267
202	0.2690250609
203	0.2689696625
204	0.2689633756
205	0.2689575143
206	0.268894131
207	0.2687673835
208	0.2686395928
209	0.268536544
210	0.2683791683
211	0.2683202711
212	0.2681588038
213	0.2680050062
214	0.2679083527
215	0.2678096499
216	0.2677395988
217	0.2677312126
218	0.2677260957
219	0.2677225266
220	0.2677079589
221	0.2676410286
222	0.2675150168
223	0.2674237832
224	0.2673337213
225	0.2671265966
226	0.2670496528
227	0.2669780063
228	0.2667997521
229	0.2667952256
230	0.2667401025
231	0.266647264
232	0.2664788343
233	0.2663464663
234	0.2663421009
235	0.2661775455
236	0.2661118916
237	0.2660309089
238	0.2659591829
239	0.2658753279
240	0.2658624499
241	0.2657888079
242	0.2657847623
243	0.2657809511
244	0.2657105257
245	0.265624061
246	0.2654734849
247	0.265391028
248	0.2653322656
249	0.2652586781
250	0.2651813982
251	0.265100756
252	0.2649191979
253	0.2647841977
254	0.2646464309
255	0.2645857455
256	0.2644470115
257	0.2643303824
258	0.2643002242
259	0.2641866594
260	0.2641195567
261	0.264115898
262	0.2640543909
263	0.2639834317
264	0.2639800064
265	0.2639363057
266	0.2637667482
267	0.2637395833
268	0.2636202288
269	0.2636169666
270	0.2635231704
271	0.2634679137
272	0.2633946788
273	0.2633319184
274	0.2632232217
275	0.2631159456
276	0.2629883585
277	0.2629387287
278	0.2628521603
279	0.2627363192
280	0.2626551139
281	0.2625565367
282	0.2625023353
283	0.2624992146
284	0.2624717712
285	0.2623748033
286	0.2622988289
287	0.2622318662
288	0.2621524321
289	0.2621472823
290	0.2620545461
291	0.2619887826
292	0.2618787397
293	0.2617753822
294	0.2617505797
295	0.2616656913
296	0.26158788
297	0.2615048419
298	0.2614462023
299	0.2614058112
300	0.2613456515
301	0.2612761506
302	0.2612321537
303	0.2611008157
304	0.2610122454
305	0.2609452542
306	0.260814549
307	0.2607727441
308	0.2607679673
309	0.2606986707
310	0.2605912405
311	0.2604451867
312	0.2603700127
313	0.2603109712
314	0.2602183088
315	0.2601472862
316	0.2600601963
317	0.2600572385
318	0.2599834667
319	0.2598490386
320	0.2597710914
321	0.2597682632
322	0.2596711571
323	0.2596082103
324	0.2595311121
325	0.2594097003
326	0.2594070563
327	0.2592700112
328	0.259210317
329	0.2592077243
330	0.2591097439
331	0.2590471313
332	0.259026433
333	0.2589584216
334	0.2588702593
335	0.2587725021
336	0.2587220766
337	0.2586336982
338	0.258551748
339	0.2584211692
340	0.2583133189
341	0.2582528123
342	0.2582156716
343	0.2581740876
344	0.2581717606
345	0.2580786297
346	0.2580314499
347	0.2579619905
348	0.2579131425
349	0.257876738
350	0.2578190838
351	0.2577540113
352	0.2576694215
353	0.2575808392
354	0.2575794132
355	0.2575271373
356	0.257458534
357	0.2573232882
358	0.2572609968
359	0.2571945218
360	0.2571761443
361	0.2570477293
362	0.2570455554
363	0.2569562697
364	0.2568410733
365	0.2567704429
366	0.2567249921
367	0.2566382566
368	0.2565778902
369	0.2565221854
370	0.256468822
371	0.2563918678
372	0.2563339388
373	0.2562435322
374	0.25621477
375	0.2562114255
376	0.2561554143
377	0.2561173553
378	0.2560447176
379	0.25596892
380	0.2559152167
381	0.2558583121
382	0.2558082382
383	0.2558063076
384	0.255759271
385	0.2557014585
386	0.2556228713
387	0.2555648216
388	0.2554499771
389	0.2553487893
390	0.2552670851
391	0.2551670449
392	0.2551079005
393	0.2550627805
394	0.2549816102
395	0.2549360427
396	0.2548878574
397	0.2548378634
398	0.254772614
399	0.2547074119
400	0.254704244
401	0.2546961952
402	0.2545845434
403	0.2544945049
404	0.2544226375
405	0.2543596295
406	0.2543074003
407	0.2542250912
408	0.254160361
409	0.254048143
410	0.2539437829
411	0.2538963304
412	0.2538452654
413	0.2537986145
414	0.2537976227
415	0.2537960562
416	0.2537321463
417	0.2536396184
418	0.2536386653
419	0.2535853682
420	0.25348335
421	0.2534824667
422	0.2534196245
423	0.2533856368
424	0.2533256501
425	0.2532425868
426	0.2531319412
427	0.2530799093
428	0.2530380699
429	0.2529640246
430	0.2529300194
431	0.2528470961
432	0.2528005584
433	0.2527932827
434	0.252704983
435	0.2526288573
436	0.252575243
437	0.2524842585
438	0.252425057
439	0.2523383324
440	0.2523326313
441	0.2522851936
442	0.2521811394
443	0.252098211
444	0.2520348309
445	0.2519604825
446	0.2518692644
447	0.2518330443
448	0.2517831729
449	0.2517817344
450	0.2517308217
451	0.2516510762
452	0.2516496545
453	0.2515444224
454	0.2514983396
455	0.2514302421
456	0.2513522825
457	0.2512724136
458	0.2512331672
459	0.2511696034
460	0.2511126809
461	0.2510615825
462	0.2510143836
463	0.2509565992
464	0.250881198
465	0.250818595
466	0.2507263449
467	0.2507250311
468	0.2507237716
469	0.2506815407
470	0.2506153306
471	0.2505531581
472	0.2504901554
473	0.2504161693
474	0.250344376
475	0.2502835388
476	0.2502155186
477	0.2502147695
478	0.2501462836
479	0.2500642124
480	0.2500105286
481	0.2499486996
482	0.249947919
483	0.2498632497
484	0.2498252993
485	0.249758905
486	0.2497084405
487	0.2496521205
488	0.2496144032
489	0.2496136782
490	0.2495274782
491	0.2494637697
492	0.2494114923
493	0.249356863
494	0.2493037756
495	0.2492163198
496	0.2491558647
497	0.2491319455
498	0.2490836834
499	0.2490195157
