iter	Passed	Remaining
0	126	63088
1	138	34491
2	150	24968
3	162	20159
4	173	17183
5	184	15196
6	196	13859
7	208	12842
8	219	11966
9	231	11335
10	243	10807
11	254	10334
12	265	9951
13	277	9638
14	289	9345
15	300	9085
16	311	8848
17	321	8607
18	333	8443
19	344	8279
20	356	8132
21	367	7989
22	378	7846
23	389	7722
24	401	7623
25	412	7519
26	423	7416
27	434	7320
28	445	7233
29	455	7142
30	468	7088
31	478	7000
32	489	6928
33	500	6854
34	511	6793
35	522	6733
36	534	6685
37	546	6639
38	557	6589
39	568	6538
40	579	6487
41	590	6438
42	600	6378
43	610	6322
44	620	6270
45	631	6233
46	643	6198
47	654	6162
48	666	6134
49	678	6107
50	688	6062
51	701	6040
52	713	6017
53	726	5997
54	738	5978
55	750	5953
56	762	5926
57	772	5887
58	781	5839
59	793	5822
60	805	5798
61	816	5770
62	828	5745
63	837	5703
64	846	5665
65	858	5644
66	870	5623
67	880	5595
68	893	5579
69	903	5550
70	915	5530
71	927	5511
72	939	5497
73	951	5478
74	963	5459
75	974	5434
76	985	5415
77	998	5401
78	1009	5380
79	1021	5363
80	1032	5341
81	1044	5322
82	1055	5301
83	1066	5282
84	1076	5257
85	1088	5239
86	1098	5216
87	1110	5196
88	1121	5179
89	1133	5164
90	1143	5141
91	1154	5121
92	1166	5106
93	1177	5086
94	1189	5071
95	1200	5052
96	1211	5034
97	1222	5015
98	1234	4998
99	1244	4978
100	1255	4960
101	1266	4943
102	1277	4923
103	1287	4902
104	1297	4882
105	1308	4864
106	1319	4846
107	1331	4833
108	1342	4814
109	1354	4802
110	1365	4785
111	1376	4768
112	1386	4748
113	1397	4731
114	1409	4719
115	1421	4706
116	1432	4689
117	1443	4674
118	1455	4660
119	1466	4645
120	1478	4630
121	1488	4612
122	1500	4598
123	1510	4579
124	1521	4564
125	1532	4549
126	1543	4532
127	1554	4517
128	1565	4502
129	1575	4485
130	1586	4468
131	1598	4456
132	1609	4442
133	1621	4429
134	1632	4414
135	1644	4401
136	1655	4385
137	1666	4371
138	1677	4355
139	1688	4340
140	1700	4328
141	1713	4320
142	1726	4310
143	1736	4294
144	1748	4280
145	1760	4267
146	1770	4252
147	1781	4238
148	1793	4225
149	1805	4212
150	1817	4199
151	1828	4187
152	1841	4175
153	1852	4163
154	1865	4151
155	1875	4135
156	1886	4122
157	1898	4110
158	1911	4098
159	1922	4085
160	1933	4072
161	1944	4057
162	1956	4044
163	1967	4030
164	1978	4016
165	1991	4006
166	2002	3992
167	2013	3979
168	2024	3965
169	2035	3950
170	2048	3940
171	2058	3925
172	2070	3913
173	2081	3900
174	2092	3886
175	2103	3873
176	2115	3861
177	2126	3846
178	2137	3833
179	2149	3821
180	2161	3808
181	2172	3795
182	2184	3784
183	2195	3770
184	2207	3759
185	2219	3747
186	2230	3734
187	2242	3720
188	2254	3709
189	2264	3694
190	2275	3681
191	2289	3672
192	2301	3660
193	2317	3654
194	2327	3640
195	2338	3627
196	2350	3615
197	2361	3601
198	2371	3587
199	2383	3574
200	2394	3561
201	2406	3549
202	2417	3536
203	2429	3525
204	2441	3513
205	2453	3501
206	2465	3489
207	2477	3477
208	2489	3466
209	2502	3455
210	2515	3445
211	2528	3434
212	2543	3427
213	2558	3418
214	2570	3407
215	2586	3401
216	2601	3392
217	2614	3382
218	2628	3372
219	2641	3362
220	2655	3352
221	2669	3342
222	2682	3332
223	2698	3325
224	2714	3317
225	2726	3306
226	2740	3296
227	2756	3288
228	2771	3279
229	2785	3270
230	2800	3260
231	2815	3251
232	2828	3241
233	2843	3231
234	2856	3221
235	2870	3211
236	2882	3199
237	2895	3187
238	2908	3176
239	2922	3165
240	2936	3155
241	2949	3144
242	2963	3134
243	2976	3122
244	2989	3111
245	3001	3099
246	3014	3088
247	3026	3075
